date,lat,lon,rainfall
2003-09-15,19.125,72.875,3.0633204579353333
2003-09-15,19.375,72.625,
2003-09-15,19.375,72.875,2.8268381655216217
2003-09-16,19.125,72.625,
2003-09-16,19.125,72.875,7.005667626857758
2003-09-16,19.375,72.625,
2003-09-16,19.375,72.875,1.4258809089660645
2003-09-17,19.125,72.625,
2003-09-17,19.125,72.875,0.6853412985801697
2003-09-17,19.375,72.625,
2003-09-17,19.375,72.875,0.0
2003-09-18,19.125,72.625,
2003-09-18,19.125,72.875,0.07614903897047043
2003-09-18,19.375,72.625,
2003-09-18,19.375,72.875,0.0
2003-09-19,19.125,72.625,
2003-09-19,19.125,72.875,1.0036012083292007
2003-09-19,19.375,72.625,
2003-09-19,19.375,72.875,0.41927270218729973
2003-09-20,19.125,72.625,
2003-09-20,19.125,72.875,2.6666132360696793
2003-09-20,19.375,72.625,
2003-09-20,19.375,72.875,2.6487357318401337
2003-09-21,19.125,72.625,
2003-09-21,19.125,72.875,10.75454592704773
2003-09-21,19.375,72.625,
2003-09-21,19.375,72.875,6.7571399211883545
2003-09-22,19.125,72.625,
2003-09-22,19.125,72.875,8.988513886928558
2003-09-22,19.375,72.625,
2003-09-22,19.375,72.875,10.311291575431824
2003-09-23,19.125,72.625,
2003-09-23,19.125,72.875,8.192774534225464
2003-09-23,19.375,72.625,
2003-09-23,19.375,72.875,10.363369941711426
2003-09-24,19.125,72.625,
2003-09-24,19.125,72.875,20.832839846611023
2003-09-24,19.375,72.625,
2003-09-24,19.375,72.875,28.248961925506592
2003-09-25,19.125,72.625,
2003-09-25,19.125,72.875,10.559661269187927
2003-09-25,19.375,72.625,
2003-09-25,19.375,72.875,17.853543281555176
2003-09-26,19.125,72.625,
2003-09-26,19.125,72.875,41.85752785205841
2003-09-26,19.375,72.625,
2003-09-26,19.375,72.875,29.75758457183838
2003-09-27,19.125,72.625,
2003-09-27,19.125,72.875,10.525910556316376
2003-09-27,19.375,72.625,
2003-09-27,19.375,72.875,10.86774742603302
2003-09-28,19.125,72.625,
2003-09-28,19.125,72.875,38.72161245346069
2003-09-28,19.375,72.625,
2003-09-28,19.375,72.875,42.96902942657471
2003-09-29,19.125,72.625,
2003-09-29,19.125,72.875,2.854100339114666
2003-09-29,19.375,72.625,
2003-09-29,19.375,72.875,3.2925336360931396
2003-09-30,19.125,72.625,
2003-09-30,19.125,72.875,0.7140054032206535
2003-09-30,19.375,72.625,
2003-09-30,19.375,72.875,1.9971865117549896
2003-10-01,19.125,72.625,
2003-10-01,19.125,72.875,0.19584058225154877
2003-10-01,19.375,72.625,
2003-10-01,19.375,72.875,0.0
2003-10-02,19.125,72.625,
2003-10-02,19.125,72.875,0.7301453053951263
2003-10-02,19.375,72.625,
2003-10-02,19.375,72.875,1.048362597823143
2003-10-03,19.125,72.625,
2003-10-03,19.125,72.875,7.576189368963242
2003-10-03,19.375,72.625,
2003-10-03,19.375,72.875,8.767789125442505
2003-10-04,19.125,72.625,
2003-10-04,19.125,72.875,0.0
2003-10-04,19.375,72.625,
2003-10-04,19.375,72.875,0.0
2003-10-05,19.125,72.625,
2003-10-05,19.125,72.875,0.0
2003-10-05,19.375,72.625,
2003-10-05,19.375,72.875,0.0
2003-10-06,19.125,72.625,
2003-10-06,19.125,72.875,0.0
2003-10-06,19.375,72.625,
2003-10-06,19.375,72.875,0.0
2003-10-07,19.125,72.625,
2003-10-07,19.125,72.875,0.043411701917648315
2003-10-07,19.375,72.625,
2003-10-07,19.375,72.875,0.08442404493689537
2003-10-08,19.125,72.625,
2003-10-08,19.125,72.875,0.7301453053951263
2003-10-08,19.375,72.625,
2003-10-08,19.375,72.875,7.462047278881073
2003-10-09,19.125,72.625,
2003-10-09,19.125,72.875,2.0651261806488037
2003-10-09,19.375,72.625,
2003-10-09,19.375,72.875,2.6021681129932404
2003-10-10,19.125,72.625,
2003-10-10,19.125,72.875,0.5385615825653076
2003-10-10,19.375,72.625,
2003-10-10,19.375,72.875,0.0
2003-10-11,19.125,72.625,
2003-10-11,19.125,72.875,0.0
2003-10-11,19.375,72.625,
2003-10-11,19.375,72.875,0.0
2003-10-12,19.125,72.625,
2003-10-12,19.125,72.875,0.0
2003-10-12,19.375,72.625,
2003-10-12,19.375,72.875,0.0
2003-10-13,19.125,72.625,
2003-10-13,19.125,72.875,0.0
2003-10-13,19.375,72.625,
2003-10-13,19.375,72.875,0.0
2003-10-14,19.125,72.625,
2003-10-14,19.125,72.875,0.0
2003-10-14,19.375,72.625,
2003-10-14,19.375,72.875,0.0
2003-10-15,19.125,72.625,
